,code,期货名,上市日期,最后交易日期
0,TSL.CFX,2年期国债期货当季连续,,
1,TSL1.CFX,2年期国债期货下季连续,,
2,TSL2.CFX,2年期国债期货隔季连续,,
3,TS.CFX,CFFEX2年期国债期货,,
4,IF.CFX,沪深300期货,,
5,IH.CFX,上证50期货,,
6,T.CFX,CFFEX10年期国债期货,,
7,IC.CFX,中证500期货,,
8,TF.CFX,CFFEX5年期国债期货,,
9,IM.CFX,中证1000期货,,
10,IML.CFX,中证1000期货当月连续,,
11,IML1.CFX,中证1000期货次月连续,,
12,IML2.CFX,中证1000期货当季连续,,
13,IFL.CFX,沪深300期货当月,,
14,IFL1.CFX,沪深300期货次月,,
15,IFL2.CFX,沪深300期货当季,,
16,IFL3.CFX,沪深300期货下季,,
17,TFL.CFX,5年期国债期货当季连续,,
18,TFL1.CFX,5年期国债期货下季连续,,
19,TFL2.CFX,5年期国债期货隔季连续,,
20,TL.CFX,10年期国债期货当季连续,,
21,TL1.CFX,10年期国债期货下季连续,,
22,TL2.CFX,10年期国债期货隔季连续,,
23,ICL.CFX,中证500期货当月连续,,
24,ICL1.CFX,中证500期货次月连续,,
25,ICL2.CFX,中证500期货当季连续,,
26,ICL3.CFX,中证500期货下季连续,,
27,IHL3.CFX,上证50期货下季连续,,
28,IHL2.CFX,上证50期货当季连续,,
29,IHL1.CFX,上证50期货次月连续,,
30,IHL.CFX,上证50期货当月连续,,
31,IML3.CFX,中证1000期货下季连续,,
32,TLL.CFX,30年期国债期货当季连续,,
33,TLL1.CFX,30年期国债期货下季连续,,
34,TLL2.CFX,30年期国债期货隔季连续,,
35,TL0.CFX,CFFEX30年期国债期货,,
0,PG.DCE,LPG主力,,
1,PGL.DCE,LPG连续,,
2,EB.DCE,苯乙烯主力,,
3,EBL.DCE,苯乙烯连续,,
4,JL.DCE,焦炭连续,,
5,JDL.DCE,鸡蛋连续,,
6,CSL.DCE,玉米淀粉连续,,
7,CS.DCE,玉米淀粉主力,,
8,C.DCE,玉米主力,,
9,LL.DCE,塑料连续,,
10,BL.DCE,豆二连续,,
11,V.DCE,PVC主力,,
12,J.DCE,焦炭主力,,
13,PL.DCE,棕榈油连续,,
14,BB.DCE,胶合板主力,,
15,M.DCE,豆粕主力,,
16,A.DCE,豆一主力,,
17,PP.DCE,聚丙烯主力,,
18,JML.DCE,焦煤连续,,
19,PPL.DCE,聚丙烯连续,,
20,ML.DCE,豆粕连续,,
21,P.DCE,棕榈油主力,,
22,YL.DCE,豆油连续,,
23,FB.DCE,纤维板主力,,
24,B.DCE,豆二主力,,
25,VL.DCE,PVC连续,,
26,CL.DCE,玉米连续,,
27,FBL.DCE,纤维板连续,,
28,IL.DCE,铁矿石连续,,
29,JD.DCE,鸡蛋主力,,
30,JM.DCE,焦煤主力,,
31,AL.DCE,豆一连续,,
32,L.DCE,塑料主力,,
33,I.DCE,铁矿石主力,,
34,Y.DCE,豆油主力,,
35,BBL.DCE,胶合板连续,,
36,RR.DCE,粳米主力,,
37,RRL.DCE,粳米连续,,
38,LHL.DCE,生猪连续,,
39,EG.DCE,乙二醇主力,,
40,EGL.DCE,乙二醇连续,,
41,LH.DCE,生猪主力,,
42,LG.DCE,原木主力,,
43,LGL.DCE,原木连续,,
0,SH.ZCE,烧碱主力,,
1,SHL.ZCE,烧碱连续,,
2,CJL.ZCE,红枣连续,,
3,CJ.ZCE,红枣主力,,
4,UR.ZCE,尿素主力,,
5,URL.ZCE,尿素连续,,
6,TA.ZCE,PTA主力,,
7,MAL.ZCE,甲醇连续,,
8,CFL.ZCE,郑棉连续,,
9,SRL.ZCE,白糖连续,,
10,RSL.ZCE,菜籽连续,,
11,LRL.ZCE,晚籼稻连续,,
12,OI.ZCE,菜油主力,,
13,MA.ZCE,甲醇主力,,
14,RIL.ZCE,早籼稻连续,,
15,RS.ZCE,菜籽主力,,
16,ZC.ZCE,动力煤主力,,
17,LR.ZCE,晚籼稻主力,,
18,OIL.ZCE,菜油连续,,
19,WHL.ZCE,强麦连续,,
20,PM.ZCE,普麦主力,,
21,SR.ZCE,白糖主力,,
22,RI.ZCE,早籼稻主力,,
23,SFL.ZCE,硅铁连续,,
24,RML.ZCE,菜粕连续,,
25,TAL.ZCE,PTA连续,,
26,SML.ZCE,锰硅连续,,
27,FGL.ZCE,玻璃连续,,
28,PML.ZCE,普麦连续,,
29,SF.ZCE,硅铁主力,,
30,WH.ZCE,强麦主力,,
31,ZCL.ZCE,动力煤连续,,
32,JR.ZCE,粳稻主力,,
33,JRL.ZCE,粳稻连续,,
34,SM.ZCE,锰硅主力,,
35,FG.ZCE,玻璃主力,,
36,CF.ZCE,棉花主力,,
37,RM.ZCE,菜粕主力,,
38,PF.ZCE,短纤主力,,
39,AP.ZCE,苹果主力,,
40,APL.ZCE,苹果连续,,
41,CY.ZCE,棉纱主力,,
42,CYL.ZCE,棉纱连续,,
43,PR.ZCE,瓶片主力,,
44,PRL.ZCE,瓶片连续,,
45,PFL.ZCE,短纤连续,,
46,PX.ZCE,对二甲苯主力,,
47,PXL.ZCE,对二甲苯连续,,
48,ER.ZCE,早籼稻主力,,
49,ERL.ZCE,早籼稻连续,,
50,ME.ZCE,甲醇主力,,
51,RO.ZCE,菜油主力,,
52,ROL.ZCE,菜油连续,,
53,TC.ZCE,动力煤主力,,
54,WS.ZCE,强麦主力,,
55,WSL.ZCE,强麦连续,,
56,WT.ZCE,硬麦主力,,
57,SA.ZCE,纯碱主力,,
58,SAL.ZCE,纯碱连续,,
59,PKL.ZCE,花生连续,,
60,PK.ZCE,花生主力,,
61,MEL.ZCE,甲醇连续,,
62,TCL.ZCE,动力煤连续,,
0,SS.SHF,不锈钢主力,,
1,BR.SHF,丁二烯橡胶主力,,
2,BRL.SHF,丁二烯橡胶连续,,
3,AUL.SHF,沪金连续,,
4,AL.SHF,沪铝主力,,
5,SNL.SHF,沪锡连续,,
6,CU.SHF,沪铜主力,,
7,ZN.SHF,沪锌主力,,
8,AG.SHF,白银主力,,
9,RB.SHF,螺纹钢主力,,
10,BUL.SHF,沥青连续,,
11,SN.SHF,沪锡主力,,
12,FUL.SHF,燃油连续,,
13,AGL.SHF,沪银连续,,
14,NI.SHF,沪镍主力,,
15,HCL.SHF,热轧卷板连续,,
16,PBL.SHF,沪铅连续,,
17,WR.SHF,线材主力,,
18,NIL.SHF,沪镍连续,,
19,RBL.SHF,螺纹钢连续,,
20,CUL.SHF,沪铜连续,,
21,FU.SHF,燃油主力,,
22,AU.SHF,黄金主力,,
23,ALL.SHF,沪铝连续,,
24,PB.SHF,沪铅主力,,
25,ZNL.SHF,沪锌连续,,
26,WRL.SHF,线材连续,,
27,RU.SHF,橡胶主力,,
28,RUL.SHF,橡胶连续,,
29,HC.SHF,热轧卷板主力,,
30,BU.SHF,沥青主力,,
31,SSL.SHF,不锈钢连续,,
32,SP.SHF,纸浆主力,,
33,SPL.SHF,纸浆连续,,
34,AO.SHF,氧化铝主力,,
35,AOL.SHF,氧化铝连续,,
0,BCL.INE,国际铜连续,,
1,NRL.INE,20号胶连续,,
2,NR.INE,20号胶主力,,
3,EC.INE,集运指数(欧线)主力,,
4,ECL.INE,集运指数(欧线)连续,,
5,SC.INE,原油主力,,
6,SCL.INE,原油连续,,
7,LUL.INE,低硫燃料油连续,,
8,LU.INE,低硫燃料油主力,,
9,BC.INE,国际铜主力,,
10,SCTAS.INE,原油TAS指令主力,,
11,SCTASL.INE,原油TAS指令连续,,
0,SI.GFE,工业硅主力,,
1,SIL.GFE,工业硅连续,,
2,LC.GFE,碳酸锂主力,,
3,LCL.GFE,碳酸锂连续,,
